Date,Campaign,Clicks,Impressions,Conversions,Cost,Revenue
2024-01-01,Campaign_A,1500,50000,45,2500,4500
2024-01-02,Campaign_A,1600,52000,48,2600,4800
2024-01-03,Campaign_B,2000,55000,60,3000,6000
2024-01-04,Campaign_B,2100,56000,63,3100,6300
2024-01-05,Campaign_A,1800,54000,54,2800,5400
2024-01-06,Campaign_C,2500,60000,75,3500,7500
2024-01-07,Campaign_C,2600,62000,78,3600,7800
2024-01-08,Campaign_B,2200,57000,66,3200,6600
2024-01-09,Campaign_A,1900,53000,57,2900,5700
2024-01-10,Campaign_A,2000,55000,60,3000,6000
2024-01-11,Campaign_C,2700,63000,81,3700,8100
2024-01-12,Campaign_B,2300,58000,69,3300,6900
2024-01-13,Campaign_A,1700,51000,51,2700,5100
2024-01-14,Campaign_C,2800,65000,84,3800,8400
2024-01-15,Campaign_B,2400,59000,72,3400,7200
2024-01-16,Campaign_A,2100,56000,63,3100,6300
2024-01-17,Campaign_C,2900,67000,87,3900,8700
2024-01-18,Campaign_B,2500,60000,75,3500,7500
2024-01-19,Campaign_A,2200,57000,66,3200,6600
2024-01-20,Campaign_C,3000,68000,90,4000,9000
