Date,Location,FootTraffic,AverageTime,BounceRate,Weather,Temperature
2024-01-01,Store_A,1200,45,35,Sunny,72
2024-01-02,Store_A,1350,48,32,Cloudy,70
2024-01-03,Store_B,980,40,42,Rainy,65
2024-01-04,Store_B,1050,42,40,Rainy,66
2024-01-05,Store_A,1400,50,30,Sunny,74
2024-01-06,Store_C,2100,55,25,Sunny,75
2024-01-07,Store_C,2200,56,24,Sunny,76
2024-01-08,Store_B,1100,44,38,Cloudy,68
2024-01-09,Store_A,1500,52,28,Sunny,73
2024-01-10,Store_A,1600,54,26,Sunny,74
2024-01-11,Store_C,2300,58,22,Sunny,77
2024-01-12,Store_B,1200,46,36,Cloudy,69
2024-01-13,Store_A,1300,47,33,Cloudy,71
2024-01-14,Store_C,2400,60,20,Sunny,78
2024-01-15,Store_B,1300,48,34,Cloudy,70
2024-01-16,Store_A,1700,56,25,Sunny,75
2024-01-17,Store_C,2500,62,18,Sunny,79
2024-01-18,Store_B,1400,50,32,Cloudy,71
2024-01-19,Store_A,1800,58,23,Sunny,76
2024-01-20,Store_C,2600,64,16,Sunny,80
